sentiment,anger,sadness,disgust,joy,fear
-0.906167,0.272111,0.751128,0.090044,0.012919,0.174592
-0.813771,0.133655,0.698303,0.51298,0.040216,0.713078
-0.621066,0.167296,0.684554,0.041046,0.025701,0.374354
-0.724783,0.126606,0.715237,0.117129,0.006873,0.350638
-0.389862,0.849189,0.247317,0.046398,0.036702,0.020026
-0.76659,0.094026,0.811678,0.072144,0.067168,0.085556
-0.776724,0.214028,0.701725,0.156438,0.057355,0.541238
-0.620014,0.145683,0.675013,0.058617,0.589742,0.569385
-0.812455,0.154398,0.684534,0.111294,0.088561,0.595274
-0.663463,0.46023,0.653503,0.091674,0.576797,0.670715
-0.868852,0.648398,0.604575,0.152584,0.406606,0.632767
-0.963862,0.088106,0.810495,0.060176,0.002482,0.30009
-0.891313,0.393346,0.514769,0.391894,0.006665,0.074111
-0.359884,0.07767,0.190372,0.021724,0.705623,0.029934
-0.844655,0.5855,0.705166,0.195722,0.440489,0.123951
-0.840515,0.554588,0.64387,0.110229,0.589232,0.110306
-0.816582,0.483254,0.638781,0.081203,0.410759,0.652394
-0.903837,0.242113,0.251524,0.251555,0.00109,0.638968
-0.627613,0.579224,0.642666,0.086814,0.560425,0.505138
-0.530667,0.629733,0.648273,0.648337,0.480674,0.687006
-0.287483,0.045258,0.80502,0.010211,0.106309,0.166398
-0.708824,0.612036,0.694128,0.161043,0.138325,0.126382
-0.603095,0.109369,0.645043,0.093876,0.583515,0.187951
0,0,0,0,0,0
-0.990246,0.089846,0.570788,0.051817,0.007374,0.593901
-0.368417,0.098142,0.685438,0.076327,0.638002,0.107517
-0.736882,0.576181,0.585977,0.084863,0.478363,0.106637
-0.849883,0.694747,0.693795,0.090893,0.500093,0.709529
-0.456164,0.545069,0.592929,0.136813,0.553355,0.132321
-0.531089,0.168334,0.257756,0.027252,0.486585,0.083701
-0.865776,0.203648,0.624446,0.161566,0.097914,0.57377
-0.553311,0.642441,0.617124,0.675769,0.557189,0.687234
-0.758025,0.156131,0.735296,0.071203,0.010475,0.320336
-0.588802,0.472286,0.582328,0.084359,0.530325,0.43784
-0.863563,0.541789,0.61911,0.083057,0.108064,0.689278
-0.909692,0.465163,0.625986,0.131133,0.007486,0.098164
-0.813109,0.170745,0.863494,0.024068,0.019937,0.137205
-0.865648,0.13355,0.806373,0.017528,0.026761,0.236653
-0.854108,0.47052,0.73582,0.111116,0.393107,0.254044
0.917221,0.090083,0.076065,0.127908,0.654828,0.052513
-0.664858,0.161795,0.675081,0.064768,0.505551,0.175775
-0.89418,0.575814,0.588567,0.143972,0.064536,0.620311
-0.93135,0.080929,0.873925,0.071442,0.033567,0.151446
-0.596629,0.433862,0.703534,0.095217,0.554618,0.420668
-0.804902,0.158016,0.651786,0.05608,0.595518,0.082812
-0.787926,0.425989,0.713513,0.092781,0.141431,0.106719
0,0,0,0,0,0
-0.92548,0.164422,0.674914,0.090891,0.033403,0.330329
0,0,0,0,0,0
-0.741703,0.081591,0.743503,0.013997,0.133873,0.186309
-0.786516,0.561158,0.643666,0.088915,0.106752,0.60638
0.301946,0.116727,0.582272,0.072612,0.650495,0.437818
-0.759821,0.608211,0.653153,0.124064,0.15516,0.182522
-0.78184,0.635372,0.692128,0.102584,0.428064,0.124642
-0.732521,0.144797,0.666946,0.045721,0.011326,0.44362
-0.732253,0.524427,0.633115,0.097385,0.554862,0.41982
-0.787672,0.733942,0.69317,0.644317,0.110419,0.698403
-0.806779,0.134628,0.712409,0.055236,0.108933,0.163289
-0.980519,0.233394,0.722855,0.082012,0.020236,0.20324
-0.411547,0.112107,0.611315,0.049584,0.580393,0.140887
-0.844407,0.221158,0.704591,0.474778,0.103052,0.174461
-0.404157,0.062651,0.619096,0.043988,0.616155,0.657258
-0.809016,0.497441,0.67966,0.073408,0.071673,0.188867
-0.633071,0.486214,0.620274,0.077509,0.555444,0.541164
-0.696293,0.10096,0.685278,0.072491,0.652232,0.664312
0,0.045894,0.524608,0.228147,0.0243,0.14739
-0.812988,0.138458,0.679738,0.092902,0.483086,0.62648
-0.987091,0.60898,0.420422,0.108116,0.014512,0.13696
-0.6283,0.107156,0.696081,0.071926,0.598673,0.636108
-0.808369,0.231809,0.587817,0.076764,0.003199,0.456461
-0.582067,0.133224,0.660262,0.05184,0.594152,0.18466
